benchmark,config_name,method_tag,method,source_path,instances,deadline_satisfaction_rate_mean,deadline_satisfaction_rate_std,deadline_satisfaction_rate_count,avg_deadline_violation_mean,avg_deadline_violation_std,avg_deadline_violation_count,makespan_mean,makespan_std,makespan_count,avg_flow_time_mean,avg_flow_time_std,avg_flow_time_count
SA-AT,n300_w30_h200_t300,greedy,Greedy,artifacts/results/sa_at_scaling/greedy/n300_w30_h200_t300_results.json,50,75.64,2.457496467726634,50,23.584094859127795,22.08080911014749,50,288.0869183376315,174.65839813342012,50,30.959423887144723,22.127527990443873,50
SA-AT,n300_w30_h200_t300,hrlf,HRLF,artifacts/results/sa_at_scaling/hrlf/n300_w30_h200_t300_results.json,50,72.55333333333334,4.465975070836529,50,6.7562876195541,5.689341009972746,50,124.48114193296443,53.281731443310726,50,15.534308218564101,5.830071227350475,50
SA-AT,n300_w30_h200_t300,capam,CAPAM,artifacts/results/sa_at_scaling/capam/n300_w30_h200_t300_results.json,50,69.24,5.159259206083327,50,38.65153586580002,26.45171018046302,50,313.023813770445,154.51658413091016,50,47.64637130062638,26.796294225274988,50
SA-AT,n300_w30_h200_t300,ours,BASAR,artifacts/results/sa_at_scaling/ours/n300_w30_h200_t300_results.json,50,81.46666666666667,2.6691654958890165,50,5.73669505969719,3.6326817179823854,50,151.10982215217152,80.78025429062968,50,12.708058707864247,3.7552636092634426,50
SA-AT,n300_w30_h200_t500,greedy,Greedy,artifacts/results/sa_at_scaling/greedy/n300_w30_h200_t500_results.json,50,48.004000000000005,2.713666154853983,50,360.54209200855644,135.22479143783892,50,1172.1218038035447,550.1278680954227,50,370.8472440370675,135.2784205935839,50
SA-AT,n300_w30_h200_t500,hrlf,HRLF,artifacts/results/sa_at_scaling/hrlf/n300_w30_h200_t500_results.json,50,45.876000000000005,6.1029684580538355,50,156.41487254193115,122.4340445721959,50,727.7414661534091,455.2606524023855,50,167.61490863009095,122.61118602098007,50
SA-AT,n300_w30_h200_t500,capam,CAPAM,artifacts/results/sa_at_scaling/capam/n300_w30_h200_t500_results.json,50,42.3,5.369283006137784,50,102.07331414362292,49.70252169455706,50,374.224400532683,187.40136937072722,50,113.48450366285587,49.654798700424514,50
SA-AT,n300_w30_h200_t500,ours,BASAR,artifacts/results/sa_at_scaling/ours/n300_w30_h200_t500_results.json,50,55.964,3.604372899687266,50,77.48019822518619,51.181911768662175,50,602.4171395285443,302.8839046364115,50,87.2593661762052,51.35494473175859,50
SA-AT,n300_w30_h200_t800,greedy,Greedy,artifacts/results/sa_at_scaling/greedy/n300_w30_h200_t800_results.json,50,30.365,2.047840325806678,50,411.14562361455114,158.40218964322767,50,866.9916952558098,281.0806527075031,50,423.2006154532407,158.40647913534679,50
SA-AT,n300_w30_h200_t800,hrlf,HRLF,artifacts/results/sa_at_scaling/hrlf/n300_w30_h200_t800_results.json,50,30.0775,5.520014153061567,50,511.34776287104427,317.2907717472376,50,1600.6210548537717,876.4094368917272,50,523.9047659226438,317.47632887991995,50
SA-AT,n300_w30_h200_t800,capam,CAPAM,artifacts/results/sa_at_scaling/capam/n300_w30_h200_t800_results.json,50,33.7075,5.057025434976573,50,143.55048321153873,112.49521410119893,50,600.3430901269013,310.9081356777532,50,155.76887129772854,112.85434358632074,50
SA-AT,n300_w30_h200_t800,ours,BASAR,artifacts/results/sa_at_scaling/ours/n300_w30_h200_t800_results.json,50,40.005,3.9734242159628517,50,250.0075971038833,166.38647259007564,50,1338.2989891300413,595.1486885086441,50,261.4146325133618,166.5846698508963,50
SA-AT,n300_w30_h200_t1500,greedy,Greedy,artifacts/results/sa_at_scaling_arrival4_deadline1p3x/greedy/n300_w30_h200_t1500_results.json,50,33.95733333333333,11.75347332115537,50,652.9751266609344,309.39219148141603,50,1456.104626886603,640.751529064931,50,696.6664083713728,310.184573929199,50
SA-AT,n300_w30_h200_t1500,hrlf,HRLF,artifacts/results/sa_at_scaling_arrival4_deadline1p3x/hrlf/n300_w30_h200_t1500_results.json,50,50.65733333333333,18.44990820814263,50,163.08430464162197,150.87703564686808,50,803.7515697378745,462.71146561846723,50,200.0454603710524,157.51934261715954,50
SA-AT,n300_w30_h200_t1500,capam,CAPAM,artifacts/results/sa_at_scaling_arrival4_deadline1p3x/capam/n300_w30_h200_t1500_results.json,50,25.440000000000005,1.967107295271692,50,231.78225815535015,58.07787833156438,50,916.2802279596449,198.58301682384746,50,280.1674938379803,58.73218003003491,50
SA-AT,n300_w30_h200_t1500,ours,BASAR,artifacts/results/sa_at_scaling_arrival4_deadline1p3x/ours/n300_w30_h200_t1500_results.json,50,73.60933333333334,14.154054056072495,50,73.35371492951423,77.91199648006382,50,731.2317947861077,358.73912928361335,50,97.98195837326,84.99673479375765,50
SA-AT,n300_w30_h200_t2000,greedy,Greedy,artifacts/results/sa_at_scaling_arrival4_deadline1p3x/greedy/n300_w30_h200_t2000_results.json,50,27.096,11.265699445662484,50,655.6034395853675,258.1789188983687,50,1464.426874802256,837.4299298095784,50,715.5562394372682,255.86747227555844,50
SA-AT,n300_w30_h200_t2000,hrlf,HRLF,artifacts/results/sa_at_scaling_arrival4_deadline1p3x/hrlf/n300_w30_h200_t2000_results.json,50,46.717,18.983162565810787,50,285.8354846733612,293.90663040227315,50,1258.2597512478774,941.9456029871577,50,335.4063412757345,301.9755713050125,50
